TIME,Goods,Services
2019M01,8323.43,-996.60
2019M02,10013.50,-153.70
2019M03,13967.93,-140.20
2019M04,9829.93,-312.10
2019M05,10952.99,130.50
2019M06,9220.81,-2667.90
2019M07,11874.84,-4819.00
2019M08,9522.73,-5217.70
2019M09,11910.03,-2481.50
2019M10,11852.61,-5948.20
2019M11,9937.10,391.60
2019M12,7075.44,1562.00
2020M01,8049.86,-1090.00
2020M02,12112.40,-1360.00
2020M03,10855.40,-324.00
2020M04,2358.20,1710.00
2020M05,5595.80,1552.00
2020M06,8843.60,2384.00
2020M07,12123.40,-2646.00
2020M08,8403.00,-2309.00
2020M09,13073.40,-448.00
2020M10,12434.20,843.00
2020M11,11084.40,2239.00
2020M12,8720.80,2918.00
2021M01,8719.20,943.00
2021M02,10853.00,1335.00
2021M03,14011.00,1325.00
2021M04,9323.40,2809.00
2021M05,8277.60,1665.00
2021M06,9681.00,420.00
2021M07,10503.60,-2195.00
2021M08,7289.00,-4553.00
2021M09,9622.40,-1934.00
2021M10,8072.00,-2375.00
