,Subject,High-skilled,Medium-skilled,Low-skilled,Average
0,Accounting & Finance,25000,21000,19000,21666.67
1,Aeronautical & Aerospace Engineering,28000,22000,20000,23333.33
2,African & Middle Eastern Studies,26000,18000,N/A,22000
3,Agriculture & Forestry,23500,19800,19000,20766.67
4,American Studies,23000,21000,19000,21000
5,Anatomy & Physiology,25000,19000,17000,20333.33
6,Anthropology,23000,19000,18000,20000
7,Archaeology,21000,18000,16000,18333.33
8,Architecture,22000,20000,17000,19666.67
9,Art & Design,21000,19000,17000,19000
10,Asian Studies,25000,20000,21000,22000
11,Biological Sciences,23000,18000,17000,19333.33
12,Building,28000,22000,20000,23333.33
13,Business & Management Studies,25000,20000,19000,21333.33
14,Celtic Studies,23000,N/A,N/A,23000
15,Chemical Engineering,30000,21000,22000,24333.33
16,Chemistry,25000,21000,18000,21333.33
17,Civil Engineering,27700,24000,15000,22233.33
18,Classics,25000,19000,18000,20666.67
19,Communication & Media Studies,21000,19000,17000,19000
20,Complementary Medicine,25000,N/A,N/A,25000
21,Computer Science,27000,19000,17000,21000
22,Creative Writing,20500,17500,16000,18000
23,Dentistry,38000,N/A,N/A,38000
24,Drama Dance & Cinematics,21000,18000,17000,18666.67
25,Economics,29700,22000,18000,23233.33
26,Education,24000,17000,17500,19500
27,Electrical & Electronic Engineering,29000,24000,17700,23566.67
28,English,23000,19000,17000,19666.67
29,Food Science,24000,20000,17000,20333.33
30,Forensic Science,20000,18000,18550,18850
31,French,25000,21000,18000,21333.33
32,General Engineering,29000,22000,19000,23333.33
33,Geography & Environmental Science,24000,20000,18000,20666.67
34,Geology,24000,20000,17000,20333.33
35,German,24000,21000,18000,21000
36,History,24000,19000,18000,20333.33
37,History of Art Architecture & Design,23000,20000,18000,20333.33
38,Iberian Languages,24000,20000,19000,21000
39,Italian,24000,22864,N/A,23432
40,Land & Property Management,27000,N/A,N/A,27000
41,Law,22000,20000,18000,20000
42,Linguistics,23000,19000,19000,20333.33
43,Marketing,23000,20000,18000,20333.33
44,Materials Technology,26000,20000,17100,21033.33
45,Mathematics,28000,20000,18000,22000
46,Mechanical Engineering,28000,25000,18000,23666.67
47,Medical Technology,24000,25000,N/A,24500
48,Medicine,33500,N/A,N/A,33500
49,Music,22000,18000,17000,19000
50,Nursing,24000,20000,18000,20666.67
51,Optometry Ophthalmics & Orthoptics,19000,N/A,N/A,19000
52,Pharmacology & Pharmacy,30000,19000,19000,22666.67
53,Philosophy,25000,19000,18000,20666.67
54,Physics & Astronomy,28000,20000,18000,22000
55,Physiotherapy,24000,N/A,N/A,24000
56,Politics,26000,21000,18000,21666.67
57,Psychology,23000,18000,17680,19560
58,Russian & East European Languages,26000,N/A,N/A,26000
59,Social Policy,24000,18000,17000,19666.67
60,Social Work,29000,18000,17500,21500
61,Sociology,23000,19000,17500,19833.33
62,Sports Science,23000,18000,17500,19500
63,Theology & Religious Studies,24000,17000,17500,19500
64,Tourism Transport Travel & Heritage Studies,22000,19400,18400,19933.33
65,Town & Country Planning and Landscape Design,25000,21000,N/A,23000
66,Veterinary Medicine,31000,N/A,N/A,31000
67,Average,,,,21817.54
