Row Labels,Average of EduTrust 2008
Austria,1.279401768
Bulgaria,1.652266289
Croatia,1.378595318
Czechia,1.414620217
Denmark,1.125168237
Estonia,1.077656676
Finland,0.91967509
France,1.121232418
Germany,1.555831266
Hungary,1.484259879
Iceland,0.7725
Italy,1.407660739
Lithuania,1.46398141
Monteneg,1.15037087
Netherla,1.359395532
Norway,1.215341959
Poland,1.161924119
Portugal,1.199322034
Romania,1.02878684
Serbia,1.44040404
Slovakia,1.137073864
Slovenia,1.041635688
Spain,1.161358811
Sweden,1.331771321
Switzerland,0.996758509
United Kingdom,1.150793651
