Country,2013,2014,2015,2016,2017,2018,2019
Austria,27863,28324,29594,30050,29801,28593,30409
Belgium,63724,64435,67881,67213,66867,66913,65001
Bosnia and Herzegovina,0,0,0,0,0,0,13053
Bulgaria,38303,35556,34158,33313,31101,29700,27650
Croatia,19362,18059,18951,18027,18210,18409,18156
Cyprus,3374,3589,3564,3521,3538,3098,3235
Czechia,58270,55157,50477,47669,42912,39874,37176
Denmark,38747,40996,42413,45301,43579,44155,44506
Estonia,7522,6913,6824,6681,6055,5499,5340
European Union - 27 countries (from 2020),0,0,0,0,1817914,1767539,1898020
European Union - 28 countries (2013-2020),0,0,0,0,2200992,2157893,2300312
Finland,33669,34318,36998,36151,36475,37547,37604
France,0,0,0,0,260621,260496,265165
Germany (until 1990 former territory of the FRG),280461,298827,314721,319851,322246,314817,386007
Greece,46189,46898,46835,45587,42561,40080,39843
Hungary,31544,33697,36235,34384,30701,30884,30162
Iceland,2492,2405,2529,2640,2568,2461,2359
Ireland,29391,37677,39866,41212,41258,43847,41943
Italy,179385,183057,181673,183253,190597,195318,204260
Latvia,12361,8340,7727,7192,6757,6945,6530
Liechtenstein,88,100,77,57,57,61,56
Lithuania,29421,23920,23056,21205,19515,18760,17539
Luxembourg,545,599,625,750,618,627,638
Malta,1962,1938,1887,2039,2242,2202,2430
Montenegro,0,0,0,3036,2970,2872,2904
Netherlands,92323,93306,98461,99426,103025,104948,104069
North Macedonia,9040,9359,8259,7767,8142,7128,7273
Norway,28047,29748,30281,30850,33356,34535,35508
Poland,256250,234692,217219,197865,200746,176154,167804
Portugal,51467,47592,47194,46522,47280,48808,49085
Romania,97661,82850,76780,72147,71125,73430,74000
Serbia,0,18223,18452,32564,32073,29694,30014
Slovakia,32887,30867,27735,25230,22294,20556,17750
Slovenia,9799,10008,10215,13680,8910,8802,8410
Spain,116715,160488,175051,174629,177419,179250,178433
Sweden,34016,36176,36471,36920,34373,35074,34875
Switzerland,49709,52086,53326,53278,54444,55169,56710
Turkey,0,389748,447294,424659,439765,439042,468640
United Kingdom,379626,420921,372662,376338,383078,390354,402292
Grand Total,2062213,2540869,2565491,2541007,6836185,6721534,7115161
