,Country,Population,Area,Area,Density,Density,Sources& Dates
,Country,Population,km2,sqmi,/km2,/sqmi,Sources& Dates
0,Bangladesh *,161376708,147570,56977,1094,2832,2018
1,Taiwan *,23604265,36193,13974,652,1689,[35] 31 Jan 2020
2,South Korea *,51171706,100148,38667,511,1323,2018
3,Rwanda *,12301970,26338,10169,467,1210,2018
4,Netherlands *,17059560,37354,14422,457,1183,2018
5,Israel *,8381516,22072,8522,380,984,2018
6,Haiti *,11123178,27750,10714,401,1038,2018
7,India *,1352642280,3287263,1269212,411,1066,2018
8,Burundi *,11175374,27834,10747,402,1040,2018
9,Belgium *,11482178,30528,11787,376,974,2018
10,Philippines *,106651394,300000,115830,356,921,2018
11,Sri Lanka *,21228763,65610,25332,324,838,2018
12,Japan *,127202192,377930,145919,337,872,2018
13,Vietnam *,95545962,330957,127782,289,748,2018
14,United Kingdom *,67141684,242495,93627,277,717,2018
15,Pakistan *,212228286,796095,307372,267,690,2018
16,Germany *,83124418,357137,137891,233,603,2018
17,Nigeria *,195874685,923768,356667,212,549,2018
18,Dominican Republic *,10627141,48192,18607,221,571,2018
19,North Korea *,25549604,120538,46540,212,549,2018
20,Nepal *,28095714,147181,56827,191,494,2018
21,Switzerland *,8525611,41285,15940,207,535,2018
22,Italy *,60627291,301339,116347,201,521,2018
23,Uganda *,42729036,241550,93262,177,458,2018
24,Guatemala *,17247849,108889,42042,158,410,2018
25,Malawi *,18143217,118484,45747,153,397,2018
26,China *,1427647786,9596961,3705387,149,385,2018
27,Indonesia *,267670543,1910931,737810,140,363,2018
28,Czech Republic *,10665677,78866,30450,135,350,2018
29,Thailand *,69428453,513120,198116,135,350,2018
30,Ghana *,29767102,238533,92098,125,323,2018
31,France *,64990511,551500,212934,118,305,2018
32,Poland *,37921592,311888,120420,122,315,2018
33,Jordan *,9965318,89328,34490,112,289,2018
34,Azerbaijan *,9949537,86600,33436,115,298,2018
35,Portugal *,10256193,92212,35603,111,288,2018
36,Turkey *,82340088,783562,302533,105,272,2018
37,Benin *,11485044,114763,44310,100,259,2018
38,Cuba *,11338134,109884,42426,103,267,2018
39,Ethiopia *,109224414,1104300,426370,99,256,2018
40,Egypt *,98423598,1002000,386872,98,254,2018
41,Malaysia *,31528033,330803,127723,95,247,2018
42,Spain *,46692858,505992,195364,92,239,2018
43,Syria *,16945057,185180,71498,92,237,2018
44,Cambodia *,16249792,181035,69898,90,232,2018
45,Iraq *,38433600,435244,168048,88,229,2018
46,Senegal *,15854323,196712,75951,81,209,2018
47,Kenya *,51392565,591958,228555,87,225,2018
48,Romania *,19506114,238391,92043,82,212,2018
49,Greece *,10522246,131957,50949,80,207,2018
50,Morocco *,36029093,446550,172413,81,209,2018
51,Myanmar *,53708320,676578,261227,79,206,2018
52,Ivory Coast *,25069230,322463,124503,78,201,2018
53,Burkina Faso *,19751466,272967,105393,72,187,2018
54,Uzbekistan *,32476244,447400,172741,73,188,2018
55,Tunisia *,11565201,163610,63170,71,183,2018
56,Ukraine * [note 11],44246156,603500,233011,73,190,2018
57,Mexico *,126190788,1964375,758445,64,166,2018
58,Ecuador *,17084358,256369,98984,67,173,2018
59,Yemen *,28498683,527968,203848,54,140,2018
60,Tanzania *,56313438,947303,365754,59,154,2018
61,"World (all land, excl. Antarctica)",7922581000,122162000,47166748,65,168,[36]12 Jan 2022
62,World (all land),7922581000,136162000,52572148,58,151,[37]12 Jan 2022
63,Cameroon *,25216267,475650,183648,53,137,2018
64,Iran *,81800188,1628750,628860,50,130,2018
65,Guinea *,12414293,245857,94925,50,131,2018
66,Afghanistan *,37171921,652864,252071,57,147,2018
67,South Africa *,57792518,1221037,471442,47,123,2018
68,Madagascar *,26262313,587295,226755,45,116,2018
69,Colombia *,49661048,1141748,440829,43,113,2018
70,Zimbabwe *,14438802,390757,150871,37,96,2018
71,DR Congo *,84068091,2344858,905350,36,93,2018
72,Mozambique *,29496004,801590,309494,37,95,2018
73,Venezuela *,28887118,912050,352143,32,82,2018
74,United States *,327096265,9629091,3717792,34,88,[38]12 Jan 2022
75,Peru *,31989260,1285216,496222,25,64,2018
76,Brazil *,209469323,8514877,3287594,25,64,2018
77,Somalia *,15008226,637657,246199,24,61,2018
78,Angola *,30809787,1246700,481351,25,64,2018
79,Sweden *,9971638,450295,173859,22,57,2018
80,Chile *,18729160,756102,291931,25,64,2018
81,Sudan *,40782742,1861484,718719,22,57,[39] 1 Jul 2017
82,Zambia *,17351708,752612,290583,23,60,2018
83,South Sudan *,12778250,644329,248775,20,51,[40] 1 Jul 2019
84,Niger *,22442831,1267000,489189,18,46,2018
85,Algeria *,42228408,2381741,919590,18,46,2018
86,Argentina *,44361150,2780400,1073512,16,41,2018
87,Saudi Arabia *,33702756,2206714,852012,15,40,2018
88,Mali *,19077749,1240192,478838,15,40,2018
89,Chad *,15477729,1284000,495752,12,31,2018
90,Bolivia *,11353142,1098581,424162,10,27,2018
91,Russia * [note 12],145734038,17098246,6601633,9,22,2018
92,Kazakhstan *,18319618,2724900,1052084,7,17,2018
93,Canada *,37064562,9984670,3855081,4,10,2018
94,Australia *,24898152,7692024,2969890,3,8,2018
